text,sentiment_score,used_tokens
"India in space:-
1962: INCOSPAR by Jawaharlal Nehru
1969: Indira Gandhi founded #ISRO.
1975: 1st satellite. 
1979:… https://t.co/dcwDL8qjhO",0.0,0.0
RT @NewsHtn: Exclusive interview with #RaghuramRajan - live with @bdutt https://t.co/5ReVRZ46rC,0.128,0.1
"A salesman at our door! After selling us jumlas of 2 Cr jobs/year, 15 Lakhs in our accounts, ending corruption, bri… https://t.co/AzJHwqqhus",0.0,0.0
"RT @dhruv_rathee: Read the truth behind how Modi is selling off India's last remaining precious forests..👇

Two days ago, Bhakts of Chor Ch…",0.7184,0.08695652173913043
#Dubai Burj Khalifa sends peace &amp; respect to how the #NewZealand PM Jacinda Ardern handled the terrorist attack on… https://t.co/gbXDQucMhs,-0.296,0.2
"@ayimunofficial check my and application accept it 
#AYIMUN2019 #asiayouthinternationalmun #internationalmun… https://t.co/DJZtwUuu3B",0.3818,0.09090909090909091
@ayimunofficial Im still waiting?🙏,0.0,0.0
"Some more old Fake news @TwitterPH
Verified my account https://t.co/kFr1PaDC3H
https://t.co/sP5aulnnJI",-0.5233,0.18181818181818182
A real Feku will never let you know that he is a Feku. https://t.co/eY0cGIXEGO,0.0,0.08333333333333333
@TajinderBagga A real Feku will never let you know that he is a Feku.,0.0,0.08333333333333333
"World's greatest brother right here. 
#RETWEET! 
""It's ok. You're strong."" and then lifts her up to help her get th… https://t.co/lsbSjonfsb",0.8553,0.14285714285714285
"Check Out @Mayawati @yadavakhilesh @yadavtejashwi
@laluprasadrjd @abhisar_sharma
@waglenikhil @priyankac19
 https://t.co/3YxKhKy3dp",0.0,0.0
@ValaAfshar @business @ThatMichaelW What happen to India??,0.0,0.0
"RT @BrutIndia: Irom Sharmila is Manipur's Iron Lady, and one of the most prominent faces of resistance. As she turns 47, here's her story.…",0.3804,0.08333333333333333
"Read this short piece --
Two Prime Ministers, two responses
Christchurch and Pulwama: Golden-hour responses charted… https://t.co/v7cPsYrdUR",0.0,0.0
#NewZealand should be proud of it's Prime Minister.What a powerful Prime Minister of #NewZealand https://t.co/iyeY9KNnhm,0.7096,0.14285714285714285
"Listen to Prime Minister of New Zealand please #Retweet  #NewZealandTerroristAttack
#NewZealandShootings… https://t.co/BmBf7aKTtr",0.3182,0.08333333333333333
"RT @rwac48: Take a look! If India continues to politicise military, we may not look very different from Pakistan https://t.co/kkwIk57ZGC",0.0,0.10526315789473684
"Congratulations  Our Inspiration Sister IPS Sampat Meena appointed as #Joint_Director of #CBI Sampat Meena, 1994 ba… https://t.co/4AADpgSjYu",0.8074,0.11764705882352941
RT @EconomicTimes: China has for the 4th time blocked (put a technical hold) a proposal at @UN to designate J-e-M chief Masood Azhar as a g…,-0.2732,0.043478260869565216
